A,00100010101000110001111111000110001,10000000000000000000000000
B,11110100011000111110100011000111110,01000000000000000000000000
C,01110100011000010000100001000101110,00100000000000000000000000
D,11100100101000110001100011001011100,00010000000000000000000000
E,11111100001000011100100001000011111,00001000000000000000000000
F,11111100001000011100100001000010000,00000100000000000000000000
G,11111100001000010111100011000111111,00000010000000000000000000
H,10001100011000111111100011000110001,00000001000000000000000000
I,11111001000010000100001000010011111,00000000100000000000000000
J,00111000100001000010100101001001110,00000000010000000000000000
K,10001100101010011000101001001010001,00000000001000000000000000
L,10000100001000010000100001000011110,00000000000100000000000000
M,10001110111010110001100011000110001,00000000000010000000000000
N,10001110011100110101101111001110001,00000000000001000000000000
O,01110100011000110001100011000101110,00000000000000100000000000
P,11110100011000111110100001000010000,00000000000000010000000000
Q,01110100011000110001101010111000001,00000000000000001000000000
R,11110100011000111110101001001010001,00000000000000000100000000
S,11111100011000011111000011000111111,00000000000000000010000000
T,11111001000010000100001000010000100,00000000000000000001000000
U,10001100011000110001100011000111111,00000000000000000000100000
V,10001100011000101010010100101000100,00000000000000000000010000
W,10001100011000110001101011010101010,00000000000000000000001000
X,10001100010101000100010101000110001,00000000000000000000000100
Y,10001100010101001010001000010000100,00000000000000000000000010
Z,11111000010001000100010001000011111,00000000000000000000000001
